ChainID,SubChainID,StoreID,BikoretNo,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
7.29066E+12,1,30,0,2015/10/06 08:40,1,0,משלוח,ב משלוחים/תווים,,,"י""ח",1,,0,1,29.91,29.91,1,1,,
7.29066E+12,1,30,0,2018/03/05 15:48,20,0,לילות סדר ישראלים,שונות /שרות,,,"י""ח",1,"י""ח",0,1,10,10,0,1,,
7.29066E+12,1,30,0,2013/11/28 16:29,39,0,ב  39 תו קניה,ב משלוחים/תווים,,,"י""ח",1,,0,1,10,10,0,1,,
7.29066E+12,1,30,0,2017/02/07 10:56,151,0,עוף טחון טרי  {קצביה]**,ח.י. מעדני גורמה בעמ,,,"ק""ג",1,,1,1,39.9,39.9,1,1,,
7.29066E+12,1,30,0,2020/03/25 08:41,285,0,דג מוסר XL טרי בריכות,ח.י. מעדני גורמה בעמ,,,"ק""ג",1,,1,1,49.9,49.9,0,1,,
7.29066E+12,1,30,0,2016/07/18 11:52,352,0,חסה עגולה,ביכורי הנגב מ.ד בעמ,,,"י""ח",1,,0,1,6.9,6.9,1,1,,
7.29066E+12,1,30,0,2018/01/25 12:03,446,0,פטריות תפזורת שקיל,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,39.9,39.9,0,1,,
7.29066E+12,1,30,0,2019/12/09 13:33,505,0,אבוקדו.,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,14.9,14.9,0,1,,
7.29066E+12,1,30,0,2020/04/13 15:27,506,0,אבטיח,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,6.9,6.9,0,1,,
7.29066E+12,1,30,0,2020/04/21 08:45,507,0,אפרסק מובחר,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,22.9,22.9,0,1,,
7.29066E+12,1,30,0,2019/11/19 08:52,510,0,אגסים,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,10.9,10.9,0,1,,
7.29066E+12,1,30,0,2019/11/25 12:10,522,0,אננס.,ביכורי הנגב מ.ד בעמ,,,"י""ח",1,,0,1,39.9,39.9,0,1,,
7.29066E+12,1,30,0,2017/03/16 12:33,523,0,אשכולית אדומה,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,6.9,6.9,0,1,,
