ChainID,SubChainID,StoreID,BikoretNo,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
7.29066E+12,1,50,0,2015/07/05 11:03,1,0,משלוח,ב משלוחים/תווים,,,"י""ח",1,,0,1,29.91,29.91,1,1,,
7.29066E+12,1,50,0,2011/03/03 06:10,2,0,"עמלת החזרת צ ק 14ש""ח",ב משלוחים/תווים,,,"י""ח",1,,0,1,14,14,0,1,,
7.29066E+12,1,50,0,2015/12/14 16:21,8,0,משלוח פנסיונר,ב משלוחים/תווים,,,"י""ח",1,,0,1,25.9,25.9,0,1,,
7.29066E+12,1,50,0,2011/03/03 06:10,18,0,תרומה חבד,שונות /שרות,,,"י""ח",1,,0,1,5,5,0,1,,
7.29066E+12,1,50,0,2011/03/03 06:24,30,0,"עמלת צ`קים חוזרים 56 ש""ח",שונות /שרות,,,"י""ח",1,,0,1,56,56,0,1,,
7.29066E+12,1,50,0,2013/11/28 15:19,39,0,ב  39 תו קניה,ב משלוחים/תווים,,,"י""ח",1,,0,1,10,10,0,1,,
7.29066E+12,1,50,0,2017/02/07 12:14,151,0,עוף טחון טרי  {קצביה]**,ח.י. מעדני גורמה בעמ,,,"ק""ג",1,,1,1,39.9,39.9,1,1,,
7.29066E+12,1,50,0,2020/05/03 19:18,355,0,דובדבן אדום ארוז,ביכורי הנגב מ.ד בעמ,,,"י""ח",1,,0,1,19.9,19.9,0,1,,
7.29066E+12,1,50,0,2013/12/25 15:55,413,0,לחמניה נקניק שפע נעמן,לפ מאפיית שפע נעמן,,,"י""ח",80,ל  גרם,0,1,1.7,2.13,0,1,,
7.29066E+12,1,50,0,2019/12/05 08:39,505,0,אבוקדו.,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,14.9,14.9,0,1,,
7.29066E+12,1,50,0,2020/04/14 07:35,506,0,אבטיח,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,6.9,6.9,0,1,,
7.29066E+12,1,50,0,2020/04/21 07:26,507,0,אפרסק מובחר,ביכורי הנגב מ.ד בעמ,,,"ק""ג",1,"ק""ג",1,1,22.9,22.9,0,1,,
